quote_data_for_nifi.tr_date,quote_data_for_nifi.tr_time,quote_data_for_nifi.bid_price,quote_data_for_nifi.bid_size,quote_data_for_nifi.ask_price,quote_data_for_nifi.ask_size,quote_data_for_nifi.market_flag,quote_data_for_nifi.quote_condition,quote_data_for_nifi.contract_commodity,quote_data_for_nifi.contract_month,quote_data_for_nifi.contract_year,quote_data_for_nifi.contract_expiry_date,quote_data_for_nifi.symbol,quote_data_for_nifi.tr_year,quote_data_for_nifi.tr_month
2017-01-03,2017-01-03 11:43:17.139,53.81,2,53.82,12,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:27.263,53.95,2,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.139,53.81,2,53.82,14,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:27.263,53.95,2,53.96,7,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.139,53.81,2,53.82,16,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:28.207,53.95,2,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.139,53.81,1,53.82,16,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:28.503,53.95,1,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.145,53.81,1,53.82,17,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:28.503,53.95,1,53.96,7,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.145,53.81,1,53.82,19,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:28.719,53.95,1,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.145,53.81,1,53.82,17,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:29.257,53.95,2,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.375,53.81,1,53.82,19,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:29.257,53.95,2,53.96,7,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.375,53.81,1,53.82,20,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:29.257,53.95,2,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.375,53.81,1,53.82,23,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:29.443,53.95,1,53.96,8,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:17.375,53.8,44,53.82,23,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
